submitted_at,lat,lng,item,price_inr,unit,distance_km,note
2026-06-29T19:10:00+05:30,12.968103,79.131459,auto_ride,70.0,per_ride,2.0,street quote
2026-08-06T18:40:00+05:30,12.901156,79.141884,egg_table,6.21,per_piece,,local shop
2026-06-13T18:40:00+05:30,12.933938,79.155674,egg_table,7.06,per_piece,,local shop
2026-06-01T19:10:00+05:30,12.933261,79.154833,auto_ride,49.0,per_ride,3.1,street quote
2026-06-25T18:40:00+05:30,12.93489,79.156151,egg_table,8.41,per_piece,,local shop
2026-07-08T17:20:00+05:30,12.9504,79.3305,egg_table,9.7,per_piece,,single-source zone
2026-07-08T19:10:00+05:30,12.968892,79.132692,auto_ride,80.0,per_ride,4.0,street quote
2026-07-07T19:10:00+05:30,12.906308,79.093492,auto_ride,48.0,per_ride,3.0,street quote
2026-06-07T19:10:00+05:30,12.969392,79.132326,auto_ride,80.0,per_ride,5.8,street quote
2026-07-20T18:40:00+05:30,12.899825,79.14325,egg_table,7.92,per_piece,,local shop
2026-05-26T19:10:00+05:30,12.969776,79.131364,auto_ride,74.0,per_ride,5.1,street quote
2026-05-28T12:00:00+05:30,,,tomato,31.0,per_kg,,no geotag
2026-07-19T18:40:00+05:30,12.934197,79.156712,egg_table,7.92,per_piece,,local shop
2026-06-18T18:40:00+05:30,12.900161,79.141509,egg_table,7.57,per_piece,,local shop
2026-06-01T19:10:00+05:30,12.906202,79.093572,auto_ride,62.0,per_ride,4.1,street quote
2026-06-17T18:40:00+05:30,12.90652,79.094101,egg_table,7.17,per_piece,,local shop
2026-05-22T19:10:00+05:30,12.934388,79.156683,auto_ride,53.0,per_ride,3.5,street quote
2026-05-07T19:10:00+05:30,12.970123,79.130916,auto_ride,83.0,per_ride,5.7,street quote
2026-06-13T19:10:00+05:30,12.968994,79.133272,auto_ride,100.0,per_ride,4.1,street quote
2026-08-09T19:10:00+05:30,12.905451,79.092554,auto_ride,48.0,per_ride,3.1,street quote
2026-07-05T18:40:00+05:30,12.934739,79.155472,egg_table,7.53,per_piece,,local shop
2026-06-10T19:10:00+05:30,12.934205,79.156167,auto_ride,36.0,per_ride,2.2,street quote
2026-06-08T19:10:00+05:30,12.900958,79.143287,auto_ride,30.0,per_ride,1.6,street quote
2026-06-26T19:10:00+05:30,12.935398,79.155535,auto_ride,31.0,per_ride,1.5,street quote
2026-06-08T18:40:00+05:30,12.969236,79.133173,egg_table,9.42,per_piece,,local shop
2026-05-21T18:40:00+05:30,12.933403,79.155149,egg_table,7.2,per_piece,,local shop
2026-06-08T18:40:00+05:30,12.934596,79.156129,egg_table,6.42,per_piece,,local shop
2026-08-04T17:20:00+05:30,12.9504,79.3305,egg_table,8.04,per_piece,,single-source zone
2026-06-14T19:10:00+05:30,12.932638,79.156764,auto_ride,56.0,per_ride,3.7,street quote
2026-07-14T19:10:00+05:30,12.90662,79.092552,auto_ride,84.0,per_ride,5.8,street quote
2026-06-19T19:10:00+05:30,12.968757,79.133643,auto_ride,90.0,per_ride,5.6,street quote
2026-05-29T19:10:00+05:30,12.900587,79.141943,auto_ride,81.0,per_ride,5.4,street quote
2026-06-25T19:10:00+05:30,12.933239,79.156129,auto_ride,56.0,per_ride,3.5,street quote
2026-07-23T18:40:00+05:30,12.900209,79.143187,egg_table,7.82,per_piece,,local shop
2026-06-07T18:40:00+05:30,12.907083,79.093301,egg_table,7.06,per_piece,,local shop
2026-08-10T19:10:00+05:30,12.934043,79.155353,auto_ride,54.0,per_ride,3.5,street quote
2026-06-23T19:10:00+05:30,12.967705,79.131755,auto_ride,90.0,per_ride,5.2,street quote
2026-05-26T18:40:00+05:30,12.971294,79.131875,egg_table,7.27,per_piece,,local shop
2026-06-30T19:10:00+05:30,12.900328,79.140405,auto_ride,85.0,per_ride,5.9,street quote
2026-05-13T19:10:00+05:30,12.970333,79.134021,auto_ride,46.0,per_ride,2.8,street quote
2026-06-30T19:10:00+05:30,12.906177,79.092686,auto_ride,72.0,per_ride,4.5,street quote
2026-05-08T19:10:00+05:30,12.968991,79.132423,auto_ride,81.0,per_ride,5.5,street quote
2026-07-30T17:20:00+05:30,12.95,79.33,egg_table,8.94,per_piece,,single-source zone
,12.9165,79.1325,egg_table,8.4,per_piece,,no timestamp
2026-07-18T18:40:00+05:30,12.901039,79.14068,egg_table,8.47,per_piece,,local shop
2026-05-10T18:40:00+05:30,12.901129,79.140047,egg_table,6.11,per_piece,,local shop
2026-08-01T19:10:00+05:30,12.935685,79.156098,auto_ride,46.0,per_ride,3.0,street quote
